,dim,walk_len,n_walks,p,q,window,hopkins
481,70,55,10,0.75,1.0,10,0.5126013604068833
482,70,55,10,0.75,1.0,15,0.5898884365727577
483,70,55,15,0.75,1.0,5,0.6299522046660161
484,70,55,15,0.75,1.0,10,0.48080452289657694
485,70,55,15,0.75,1.0,15,0.6661285546625617
486,70,65,5,0.75,1.0,5,0.5486119570753406
487,70,65,5,0.75,1.0,10,0.4420344520141
488,70,65,5,0.75,1.0,15,0.4140426294212042
489,70,65,10,0.75,1.0,5,0.5223298243059126
490,70,65,10,0.75,1.0,10,0.4673247230019402
491,70,65,10,0.75,1.0,15,0.5274238676023453
492,70,65,15,0.75,1.0,5,0.548378164286963
493,70,65,15,0.75,1.0,10,0.5921671009574325
494,70,65,15,0.75,1.0,15,0.5561789500801823
495,70,75,5,0.75,1.0,5,0.5950345535600059
496,70,75,5,0.75,1.0,10,0.5067945680227323
497,70,75,5,0.75,1.0,15,0.45678529137481316
498,70,75,10,0.75,1.0,5,0.4851999075334783
499,70,75,10,0.75,1.0,10,0.568559666552311
500,70,75,10,0.75,1.0,15,0.5589038218809027
501,70,75,15,0.75,1.0,5,0.5610634664481206
502,70,75,15,0.75,1.0,10,0.5476308575012405
503,70,75,15,0.75,1.0,15,0.5289693058483537
504,80,5,5,0.75,1.0,5,0.6388793411033302
505,80,5,5,0.75,1.0,10,0.6368621838355759
506,80,5,5,0.75,1.0,15,0.6445608019505839
507,80,5,10,0.75,1.0,5,0.7172263460647287
508,80,5,10,0.75,1.0,10,0.668968633214656
509,80,5,10,0.75,1.0,15,0.5992320897267934
510,80,5,15,0.75,1.0,5,0.6711114360609184
511,80,5,15,0.75,1.0,10,0.6480588001685988
512,80,5,15,0.75,1.0,15,0.6669248613097445
513,80,15,5,0.75,1.0,5,0.6824587944057522
