,dim,walk_len,n_walks,p,q,window,ARI
100,20,35,5,0.75,1.0,10,-0.024844720496894408
101,20,35,5,0.75,1.0,15,0.06862745098039216
102,20,35,10,0.75,1.0,5,-0.024844720496894408
103,20,35,10,0.75,1.0,10,-0.029411764705882353
104,20,35,10,0.75,1.0,15,-0.024844720496894408
105,20,35,15,0.75,1.0,5,-0.024844720496894408
106,20,35,15,0.75,1.0,10,-0.024844720496894408
107,20,35,15,0.75,1.0,15,-0.024844720496894408
108,20,45,5,0.75,1.0,5,-0.024844720496894408
109,20,45,5,0.75,1.0,10,-0.024844720496894408
110,20,45,5,0.75,1.0,15,-0.024844720496894408
111,20,45,10,0.75,1.0,5,-0.024844720496894408
112,20,45,10,0.75,1.0,10,0.056451612903225805
113,20,45,10,0.75,1.0,15,0.008064516129032258
114,20,45,15,0.75,1.0,5,-0.024844720496894408
115,20,45,15,0.75,1.0,10,-0.024844720496894408
116,20,45,15,0.75,1.0,15,-0.024844720496894408
117,20,55,5,0.75,1.0,5,-0.024844720496894408
118,20,55,5,0.75,1.0,10,-0.024844720496894408
119,20,55,5,0.75,1.0,15,-0.024844720496894408
120,20,55,10,0.75,1.0,5,0.008064516129032258
121,20,55,10,0.75,1.0,10,0.056451612903225805
122,20,55,10,0.75,1.0,15,0.008064516129032258
123,20,55,15,0.75,1.0,5,-0.024844720496894408
124,20,55,15,0.75,1.0,10,-0.024844720496894408
125,20,55,15,0.75,1.0,15,-0.024844720496894408
126,20,65,5,0.75,1.0,5,0.0196078431372549
127,20,65,5,0.75,1.0,10,-0.024844720496894408
128,20,65,5,0.75,1.0,15,-0.024844720496894408
129,20,65,10,0.75,1.0,5,-0.029411764705882353
130,20,65,10,0.75,1.0,10,-0.024844720496894408
131,20,65,10,0.75,1.0,15,-0.024844720496894408
132,20,65,15,0.75,1.0,5,-0.024844720496894408
133,20,65,15,0.75,1.0,10,-0.024844720496894408
134,20,65,15,0.75,1.0,15,-0.024844720496894408
135,20,75,5,0.75,1.0,5,-0.024844720496894408
136,20,75,5,0.75,1.0,10,-0.024844720496894408
137,20,75,5,0.75,1.0,15,0.008064516129032258
138,20,75,10,0.75,1.0,5,-0.024844720496894408
139,20,75,10,0.75,1.0,10,0.008064516129032258
140,20,75,10,0.75,1.0,15,-0.024844720496894408
141,20,75,15,0.75,1.0,5,-0.024844720496894408
142,20,75,15,0.75,1.0,10,-0.024844720496894408
143,20,75,15,0.75,1.0,15,-0.024844720496894408
144,30,5,5,0.75,1.0,5,0.0196078431372549
145,30,5,5,0.75,1.0,10,-0.09872611464968153
146,30,5,5,0.75,1.0,15,-0.0031847133757961785
147,30,5,10,0.75,1.0,5,0.17452830188679244
148,30,5,10,0.75,1.0,10,0.11764705882352941
149,30,5,10,0.75,1.0,15,0.008064516129032258
150,30,5,15,0.75,1.0,5,-0.11801242236024845
151,30,5,15,0.75,1.0,10,0.0330188679245283
152,30,5,15,0.75,1.0,15,0.0330188679245283
153,30,15,5,0.75,1.0,5,-0.04032258064516129
154,30,15,5,0.75,1.0,10,-0.04032258064516129
155,30,15,5,0.75,1.0,15,-0.014150943396226415
156,30,15,10,0.75,1.0,5,-0.014150943396226415
