,dim,walk_len,n_walks,p,q,window,modularity
158,30,15,10,0.75,1.0,15,0.5523298011322398
159,30,15,15,0.75,1.0,5,0.5516765858615185
160,30,15,15,0.75,1.0,10,0.5683698650021773
161,30,15,15,0.75,1.0,15,0.6371752068515023
162,30,25,5,0.75,1.0,5,0.6371752068515023
163,30,25,5,0.75,1.0,10,0.6371752068515023
164,30,25,5,0.75,1.0,15,0.6371752068515023
165,30,25,10,0.75,1.0,5,0.6371752068515023
166,30,25,10,0.75,1.0,10,0.6481347075047177
167,30,25,10,0.75,1.0,15,0.6260705472492379
168,30,25,15,0.75,1.0,5,0.6371752068515023
169,30,25,15,0.75,1.0,10,0.6481347075047177
170,30,25,15,0.75,1.0,15,0.6481347075047177
171,30,35,5,0.75,1.0,5,0.6260705472492379
172,30,35,5,0.75,1.0,10,0.6371752068515023
173,30,35,5,0.75,1.0,15,0.6371752068515023
174,30,35,10,0.75,1.0,5,0.6481347075047177
175,30,35,10,0.75,1.0,10,0.6481347075047177
176,30,35,10,0.75,1.0,15,0.6481347075047177
177,30,35,15,0.75,1.0,5,0.6481347075047177
178,30,35,15,0.75,1.0,10,0.6481347075047177
179,30,35,15,0.75,1.0,15,0.6481347075047177
180,30,45,5,0.75,1.0,5,0.6481347075047177
181,30,45,5,0.75,1.0,10,0.6481347075047177
182,30,45,5,0.75,1.0,15,0.6481347075047177
183,30,45,10,0.75,1.0,5,0.6481347075047177
184,30,45,10,0.75,1.0,10,0.6389171142400929
185,30,45,10,0.75,1.0,15,0.6481347075047177
186,30,45,15,0.75,1.0,5,0.6481347075047177
187,30,45,15,0.75,1.0,10,0.6481347075047177
188,30,45,15,0.75,1.0,15,0.6481347075047177
189,30,55,5,0.75,1.0,5,0.6260705472492379
190,30,55,5,0.75,1.0,10,0.6481347075047177
191,30,55,5,0.75,1.0,15,0.6371752068515023
192,30,55,10,0.75,1.0,5,0.6481347075047177
193,30,55,10,0.75,1.0,10,0.6371752068515023
194,30,55,10,0.75,1.0,15,0.6371752068515023
195,30,55,15,0.75,1.0,5,0.6481347075047177
196,30,55,15,0.75,1.0,10,0.5683698650021773
197,30,55,15,0.75,1.0,15,0.6481347075047177
198,30,65,5,0.75,1.0,5,0.5683698650021773
199,30,65,5,0.75,1.0,10,0.5918856147481493
200,30,65,5,0.75,1.0,15,0.6481347075047177
201,30,65,10,0.75,1.0,5,0.6481347075047177
202,30,65,10,0.75,1.0,10,0.6481347075047177
203,30,65,10,0.75,1.0,15,0.6481347075047177
204,30,65,15,0.75,1.0,5,0.6481347075047177
205,30,65,15,0.75,1.0,10,0.6481347075047177
206,30,65,15,0.75,1.0,15,0.6481347075047177
207,30,75,5,0.75,1.0,5,0.6389171142400929
208,30,75,5,0.75,1.0,10,0.6481347075047177
209,30,75,5,0.75,1.0,15,0.6389171142400929
210,30,75,10,0.75,1.0,5,0.580200319349688
211,30,75,10,0.75,1.0,10,0.6481347075047177
212,30,75,10,0.75,1.0,15,0.6481347075047177
213,30,75,15,0.75,1.0,5,0.6481347075047177
214,30,75,15,0.75,1.0,10,0.6481347075047177
215,30,75,15,0.75,1.0,15,0.6481347075047177
216,40,5,5,0.75,1.0,5,-0.1443605748294382
217,40,5,5,0.75,1.0,10,-0.1461024822180287
218,40,5,5,0.75,1.0,15,-0.10190158223254461
219,40,5,10,0.75,1.0,5,-0.05254753955581358
220,40,5,10,0.75,1.0,10,-0.11874002032225284
221,40,5,10,0.75,1.0,15,-0.017346494411380413
222,40,5,15,0.75,1.0,5,-0.08470024677021339
223,40,5,15,0.75,1.0,10,-0.025257657134562322
224,40,5,15,0.75,1.0,15,0.10647408912759473
225,40,15,5,0.75,1.0,5,0.035636521991580794
226,40,15,5,0.75,1.0,10,0.0005806357961968545
227,40,15,5,0.75,1.0,15,0.04616054579764843
228,40,15,10,0.75,1.0,5,0.5804906372477863
229,40,15,10,0.75,1.0,10,0.6260705472492379
230,40,15,10,0.75,1.0,15,0.5770794019451299
231,40,15,15,0.75,1.0,5,0.6481347075047176
232,40,15,15,0.75,1.0,10,0.5452895921033533
233,40,15,15,0.75,1.0,15,0.516693279140659
234,40,25,5,0.75,1.0,5,0.6481347075047177
235,40,25,5,0.75,1.0,10,0.6481347075047177
236,40,25,5,0.75,1.0,15,0.6371752068515023
237,40,25,10,0.75,1.0,5,0.6260705472492379
238,40,25,10,0.75,1.0,10,0.6371752068515023
239,40,25,10,0.75,1.0,15,0.6260705472492379
240,40,25,15,0.75,1.0,5,0.6481347075047177
241,40,25,15,0.75,1.0,10,0.6481347075047177
242,40,25,15,0.75,1.0,15,0.6481347075047177
243,40,35,5,0.75,1.0,5,0.6260705472492379
244,40,35,5,0.75,1.0,10,0.6371752068515023
245,40,35,5,0.75,1.0,15,0.6371752068515023
246,40,35,10,0.75,1.0,5,0.6481347075047177
247,40,35,10,0.75,1.0,10,0.6481347075047177
248,40,35,10,0.75,1.0,15,0.6481347075047177
249,40,35,15,0.75,1.0,5,0.6481347075047177
250,40,35,15,0.75,1.0,10,0.6481347075047177
251,40,35,15,0.75,1.0,15,0.6481347075047177
252,40,45,5,0.75,1.0,5,0.6481347075047177
253,40,45,5,0.75,1.0,10,0.6481347075047177
254,40,45,5,0.75,1.0,15,0.6481347075047177
255,40,45,10,0.75,1.0,5,0.6481347075047177
256,40,45,10,0.75,1.0,10,0.6260705472492379
257,40,45,10,0.75,1.0,15,0.6481347075047177
258,40,45,15,0.75,1.0,5,0.6481347075047177
259,40,45,15,0.75,1.0,10,0.6481347075047177
260,40,45,15,0.75,1.0,15,0.6481347075047177
261,40,55,5,0.75,1.0,5,0.6481347075047177
262,40,55,5,0.75,1.0,10,0.6481347075047177
263,40,55,5,0.75,1.0,15,0.6371752068515023
264,40,55,10,0.75,1.0,5,0.6260705472492379
265,40,55,10,0.75,1.0,10,0.6481347075047177
266,40,55,10,0.75,1.0,15,0.6260705472492379
267,40,55,15,0.75,1.0,5,0.6481347075047177
268,40,55,15,0.75,1.0,10,0.6481347075047177
269,40,55,15,0.75,1.0,15,0.5683698650021773
270,40,65,5,0.75,1.0,5,0.5918856147481493
271,40,65,5,0.75,1.0,10,0.6481347075047177
272,40,65,5,0.75,1.0,15,0.6481347075047177
273,40,65,10,0.75,1.0,5,0.6481347075047177
274,40,65,10,0.75,1.0,10,0.6481347075047177
275,40,65,10,0.75,1.0,15,0.6481347075047177
276,40,65,15,0.75,1.0,5,0.6481347075047177
277,40,65,15,0.75,1.0,10,0.564595732326898
278,40,65,15,0.75,1.0,15,0.6481347075047177
279,40,75,5,0.75,1.0,5,0.5683698650021773
280,40,75,5,0.75,1.0,10,0.6481347075047177
281,40,75,5,0.75,1.0,15,0.6481347075047177
282,40,75,10,0.75,1.0,5,0.6481347075047177
283,40,75,10,0.75,1.0,10,0.6481347075047177
284,40,75,10,0.75,1.0,15,0.6481347075047177
285,40,75,15,0.75,1.0,5,0.6481347075047177
286,40,75,15,0.75,1.0,10,0.6481347075047177
287,40,75,15,0.75,1.0,15,0.6481347075047177
288,50,5,5,0.75,1.0,5,-0.04274931049499199
289,50,5,5,0.75,1.0,10,-0.11619973871389169
290,50,5,5,0.75,1.0,15,-0.0577006822470605
291,50,5,10,0.75,1.0,5,0.05487008274060097
292,50,5,10,0.75,1.0,10,-0.06060386122804468
293,50,5,10,0.75,1.0,15,-0.07468427928581796
294,50,5,15,0.75,1.0,5,0.06372477863260274
295,50,5,15,0.75,1.0,10,-0.0494992016257802
296,50,5,15,0.75,1.0,15,-0.17586006677311655
297,50,15,5,0.75,1.0,5,0.26281027725359274
298,50,15,5,0.75,1.0,10,0.29663231238205834
299,50,15,5,0.75,1.0,15,0.05741036434896213
300,50,15,10,0.75,1.0,5,0.5918856147481492
301,50,15,10,0.75,1.0,10,0.580200319349688
302,50,15,10,0.75,1.0,15,0.580200319349688
303,50,15,15,0.75,1.0,5,0.6371752068515023
304,50,15,15,0.75,1.0,10,0.5918856147481492
305,50,15,15,0.75,1.0,15,0.5683698650021773
306,50,25,5,0.75,1.0,5,0.5044999274205255
307,50,25,5,0.75,1.0,10,0.6371752068515023
308,50,25,5,0.75,1.0,15,0.6371752068515023
309,50,25,10,0.75,1.0,5,0.5683698650021773
310,50,25,10,0.75,1.0,10,0.6481347075047177
311,50,25,10,0.75,1.0,15,0.6260705472492379
312,50,25,15,0.75,1.0,5,0.6260705472492379
313,50,25,15,0.75,1.0,10,0.6481347075047177
314,50,25,15,0.75,1.0,15,0.6481347075047177
315,50,35,5,0.75,1.0,5,0.6260705472492379
316,50,35,5,0.75,1.0,10,0.6371752068515023
317,50,35,5,0.75,1.0,15,0.6371752068515023
318,50,35,10,0.75,1.0,5,0.6481347075047177
319,50,35,10,0.75,1.0,10,0.6481347075047177
320,50,35,10,0.75,1.0,15,0.6481347075047177
321,50,35,15,0.75,1.0,5,0.6481347075047177
322,50,35,15,0.75,1.0,10,0.6481347075047177
323,50,35,15,0.75,1.0,15,0.6481347075047177
324,50,45,5,0.75,1.0,5,0.6481347075047177
325,50,45,5,0.75,1.0,10,0.6371752068515023
326,50,45,5,0.75,1.0,15,0.6481347075047177
327,50,45,10,0.75,1.0,5,0.6481347075047177
328,50,45,10,0.75,1.0,10,0.580200319349688
329,50,45,10,0.75,1.0,15,0.5802003193496879
330,50,45,15,0.75,1.0,5,0.6481347075047177
331,50,45,15,0.75,1.0,10,0.6481347075047177
332,50,45,15,0.75,1.0,15,0.6481347075047177
333,50,55,5,0.75,1.0,5,0.6371752068515023
334,50,55,5,0.75,1.0,10,0.6481347075047177
335,50,55,5,0.75,1.0,15,0.6481347075047177
336,50,55,10,0.75,1.0,5,0.5802003193496879
337,50,55,10,0.75,1.0,10,0.6481347075047177
338,50,55,10,0.75,1.0,15,0.5534910727246335
339,50,55,15,0.75,1.0,5,0.6481347075047177
340,50,55,15,0.75,1.0,10,0.6481347075047177
341,50,55,15,0.75,1.0,15,0.6481347075047177
342,50,65,5,0.75,1.0,5,0.5802003193496879
343,50,65,5,0.75,1.0,10,0.6481347075047177
344,50,65,5,0.75,1.0,15,0.6481347075047177
345,50,65,10,0.75,1.0,5,0.6481347075047177
346,50,65,10,0.75,1.0,10,0.6481347075047177
347,50,65,10,0.75,1.0,15,0.6481347075047177
348,50,65,15,0.75,1.0,5,0.6481347075047177
349,50,65,15,0.75,1.0,10,0.6481347075047177
350,50,65,15,0.75,1.0,15,0.6481347075047177
351,50,75,5,0.75,1.0,5,0.6481347075047177
352,50,75,5,0.75,1.0,10,0.6481347075047177
353,50,75,5,0.75,1.0,15,0.6481347075047177
354,50,75,10,0.75,1.0,5,0.6481347075047177
355,50,75,10,0.75,1.0,10,0.6481347075047177
356,50,75,10,0.75,1.0,15,0.6481347075047177
357,50,75,15,0.75,1.0,5,0.6481347075047177
358,50,75,15,0.75,1.0,10,0.6481347075047177
359,50,75,15,0.75,1.0,15,0.6481347075047177
360,60,5,5,0.75,1.0,5,-0.0606038612280447
361,60,5,5,0.75,1.0,10,-0.1294092030773697
362,60,5,5,0.75,1.0,15,-0.11097401654812018
363,60,5,10,0.75,1.0,5,-0.03193496879082594
364,60,5,10,0.75,1.0,10,-0.1461024822180287
365,60,5,10,0.75,1.0,15,-0.00979822906082159
366,60,5,15,0.75,1.0,5,-0.12258673247205687
367,60,5,15,0.75,1.0,10,-0.11387719552910433
368,60,5,15,0.75,1.0,15,0.06974887501814489
369,60,15,5,0.75,1.0,5,0.19814196545217014
370,60,15,5,0.75,1.0,10,0.41682392219480335
371,60,15,5,0.75,1.0,15,0.3876469734359123
372,60,15,10,0.75,1.0,5,0.5918856147481492
373,60,15,10,0.75,1.0,10,0.6389171142400929
374,60,15,10,0.75,1.0,15,0.6371752068515023
375,60,15,15,0.75,1.0,5,0.580200319349688
376,60,15,15,0.75,1.0,10,0.5683698650021773
377,60,15,15,0.75,1.0,15,0.5683698650021773
378,60,25,5,0.75,1.0,5,0.5918856147481492
379,60,25,5,0.75,1.0,10,0.6371752068515023
380,60,25,5,0.75,1.0,15,0.6260705472492379
381,60,25,10,0.75,1.0,5,0.6260705472492379
382,60,25,10,0.75,1.0,10,0.6481347075047177
383,60,25,10,0.75,1.0,15,0.6260705472492379
384,60,25,15,0.75,1.0,5,0.6481347075047177
385,60,25,15,0.75,1.0,10,0.6371752068515023
386,60,25,15,0.75,1.0,15,0.6481347075047177
387,60,35,5,0.75,1.0,5,0.6371752068515023
388,60,35,5,0.75,1.0,10,0.6371752068515023
389,60,35,5,0.75,1.0,15,0.5563942517056176
390,60,35,10,0.75,1.0,5,0.6481347075047177
391,60,35,10,0.75,1.0,10,0.6481347075047177
392,60,35,10,0.75,1.0,15,0.6481347075047177
393,60,35,15,0.75,1.0,5,0.6481347075047177
394,60,35,15,0.75,1.0,10,0.6481347075047177
395,60,35,15,0.75,1.0,15,0.6481347075047177
396,60,45,5,0.75,1.0,5,0.6481347075047177
397,60,45,5,0.75,1.0,10,0.6481347075047177
398,60,45,5,0.75,1.0,15,0.6481347075047177
399,60,45,10,0.75,1.0,5,0.6371752068515024
400,60,45,10,0.75,1.0,10,0.5683698650021773
401,60,45,10,0.75,1.0,15,0.6481347075047177
402,60,45,15,0.75,1.0,5,0.6481347075047177
403,60,45,15,0.75,1.0,10,0.6481347075047177
404,60,45,15,0.75,1.0,15,0.6481347075047177
405,60,55,5,0.75,1.0,5,0.6371752068515023
406,60,55,5,0.75,1.0,10,0.6481347075047177
407,60,55,5,0.75,1.0,15,0.6481347075047177
408,60,55,10,0.75,1.0,5,0.6481347075047177
409,60,55,10,0.75,1.0,10,0.6371752068515023
410,60,55,10,0.75,1.0,15,0.6389171142400929
411,60,55,15,0.75,1.0,5,0.6481347075047177
412,60,55,15,0.75,1.0,10,0.6481347075047177
413,60,55,15,0.75,1.0,15,0.6481347075047177
414,60,65,5,0.75,1.0,5,0.5802003193496879
415,60,65,5,0.75,1.0,10,0.6481347075047177
416,60,65,5,0.75,1.0,15,0.6371752068515023
417,60,65,10,0.75,1.0,5,0.6481347075047177
418,60,65,10,0.75,1.0,10,0.6481347075047177
419,60,65,10,0.75,1.0,15,0.6481347075047177
420,60,65,15,0.75,1.0,5,0.6481347075047177
421,60,65,15,0.75,1.0,10,0.6481347075047177
422,60,65,15,0.75,1.0,15,0.6481347075047177
423,60,75,5,0.75,1.0,5,0.6260705472492379
424,60,75,5,0.75,1.0,10,0.6481347075047177
425,60,75,5,0.75,1.0,15,0.6481347075047177
426,60,75,10,0.75,1.0,5,0.6481347075047177
427,60,75,10,0.75,1.0,10,0.5683698650021773
428,60,75,10,0.75,1.0,15,0.6481347075047177
429,60,75,15,0.75,1.0,5,0.6481347075047177
430,60,75,15,0.75,1.0,10,0.6481347075047177
431,60,75,15,0.75,1.0,15,0.5033386558281318
432,70,5,5,0.75,1.0,5,-0.061910291769487556
433,70,5,5,0.75,1.0,10,-0.11910291769487587
434,70,5,5,0.75,1.0,15,-0.0707649876614893
435,70,5,10,0.75,1.0,5,0.07497459718391641
436,70,5,10,0.75,1.0,10,-0.12011903033822034
437,70,5,10,0.75,1.0,15,-0.06539410654666858
438,70,5,15,0.75,1.0,5,-0.09413557845841194
439,70,5,15,0.75,1.0,10,0.09319204528959213
440,70,5,15,0.75,1.0,15,-0.04906372477863257
441,70,15,5,0.75,1.0,5,0.08353897517781972
442,70,15,5,0.75,1.0,10,0.14944113804616055
443,70,15,5,0.75,1.0,15,0.018290027580200333
444,70,15,10,0.75,1.0,5,0.5802003193496879
445,70,15,10,0.75,1.0,10,0.580200319349688
446,70,15,10,0.75,1.0,15,0.5804906372477863
447,70,15,15,0.75,1.0,5,0.5744665408622441
448,70,15,15,0.75,1.0,10,0.5744665408622441
449,70,15,15,0.75,1.0,15,0.6260705472492379
450,70,25,5,0.75,1.0,5,0.6371752068515023
451,70,25,5,0.75,1.0,10,0.6260705472492379
452,70,25,5,0.75,1.0,15,0.6260705472492379
453,70,25,10,0.75,1.0,5,0.6260705472492379
454,70,25,10,0.75,1.0,10,0.6481347075047177
455,70,25,10,0.75,1.0,15,0.6260705472492379
456,70,25,15,0.75,1.0,5,0.6481347075047177
457,70,25,15,0.75,1.0,10,0.6481347075047177
458,70,25,15,0.75,1.0,15,0.6481347075047177
459,70,35,5,0.75,1.0,5,0.6260705472492379
460,70,35,5,0.75,1.0,10,0.6260705472492379
461,70,35,5,0.75,1.0,15,0.6371752068515023
462,70,35,10,0.75,1.0,5,0.6481347075047177
463,70,35,10,0.75,1.0,10,0.5683698650021773
464,70,35,10,0.75,1.0,15,0.6481347075047177
465,70,35,15,0.75,1.0,5,0.6481347075047177
466,70,35,15,0.75,1.0,10,0.6481347075047177
467,70,35,15,0.75,1.0,15,0.6481347075047177
468,70,45,5,0.75,1.0,5,0.6481347075047177
469,70,45,5,0.75,1.0,10,0.6481347075047177
470,70,45,5,0.75,1.0,15,0.6481347075047177
471,70,45,10,0.75,1.0,5,0.6481347075047177
472,70,45,10,0.75,1.0,10,0.6389171142400929
473,70,45,10,0.75,1.0,15,0.5683698650021773
474,70,45,15,0.75,1.0,5,0.6481347075047177
475,70,45,15,0.75,1.0,10,0.6481347075047177
476,70,45,15,0.75,1.0,15,0.6481347075047177
477,70,55,5,0.75,1.0,5,0.6481347075047177
478,70,55,5,0.75,1.0,10,0.6481347075047177
479,70,55,5,0.75,1.0,15,0.6481347075047177
480,70,55,10,0.75,1.0,5,0.5683698650021773
481,70,55,10,0.75,1.0,10,0.6371752068515023
482,70,55,10,0.75,1.0,15,0.6481347075047177
483,70,55,15,0.75,1.0,5,0.6481347075047177
484,70,55,15,0.75,1.0,10,0.6481347075047177
485,70,55,15,0.75,1.0,15,0.6481347075047177
486,70,65,5,0.75,1.0,5,0.6260705472492379
487,70,65,5,0.75,1.0,10,0.6481347075047177
488,70,65,5,0.75,1.0,15,0.6481347075047177
489,70,65,10,0.75,1.0,5,0.6481347075047177
490,70,65,10,0.75,1.0,10,0.5033386558281318
491,70,65,10,0.75,1.0,15,0.6481347075047177
492,70,65,15,0.75,1.0,5,0.6481347075047177
493,70,65,15,0.75,1.0,10,0.6481347075047177
494,70,65,15,0.75,1.0,15,0.6481347075047177
495,70,75,5,0.75,1.0,5,0.6481347075047177
496,70,75,5,0.75,1.0,10,0.6481347075047177
497,70,75,5,0.75,1.0,15,0.6481347075047177
498,70,75,10,0.75,1.0,5,0.6481347075047177
499,70,75,10,0.75,1.0,10,0.6481347075047177
500,70,75,10,0.75,1.0,15,0.6481347075047177
501,70,75,15,0.75,1.0,5,0.6481347075047177
502,70,75,15,0.75,1.0,10,0.6481347075047177
503,70,75,15,0.75,1.0,15,0.6481347075047177
504,80,5,5,0.75,1.0,5,-0.10690956597474233
505,80,5,5,0.75,1.0,10,0.010959500653215291
506,80,5,5,0.75,1.0,15,0.03875743939613879
507,80,5,10,0.75,1.0,5,-0.0479750326607635
508,80,5,10,0.75,1.0,10,0.01734649441138049
509,80,5,10,0.75,1.0,15,-0.036942952533023626
510,80,5,15,0.75,1.0,5,-0.17905356365219913
511,80,5,15,0.75,1.0,10,-0.11953839454202349
512,80,5,15,0.75,1.0,15,-0.1949484685730875
